4-187-30-234;Aufnehmen
4-179-30-234;Abspielen
4-195-29-234;Tierlaute
4-154-30-234;TierOrchester
4-145-30-234;Kakophonie
4-170-30-234;Einmaleins
4-162-30-234;Animals
;
233-201-187-177;ENDE
73-205-174-177;JA
89-109-177-176;NEIN
185-55-197-177;FRAGEZEICHEN
137-55-184-177;ADMIN
;
4-111-30-234;roboter
4-136-30-234;koenig
4-102-30-234;koenigin
4-94-30-234;frau
4-127-30-234;ritter
4-119-30-234;zauberer
;
246-203-178-35;Loewe0
163-230-214-56;Elefant0
6-0-220-36;Hahn1
163-233-31-56;Katze1
179-2-104-56;Hund2
163-153-108-56;Kuh2
146-42-75-45;Esel3
130-223-61-45;Baer3
176-62-217-42;Affe4
160-209-157-42;Kuckuck4
112-163-93-42;Schwein5
246-160-147-35;Ziege5
162-3-198-45;Schaf6
162-34-213-45;Wolf6
176-104-118-42;Taube7
230-142-19-35;Henne7
246-139-131-35;Seehund8
176-186-177-42;Pferd8
246-152-144-35;Ente9
162-165-234-45;Gans9
