4-34-25-234;Aufnehmen
4-42-25-234;Abspielen
4-51-26-234;Tierlaute
4-26-25-234;TierOrchester
4-18-25-234;Kakophonie
4-58-27-234;Einmaleins
;
4-40-26-234;ENDE
4-23-26-234;JA
4-15-26-234;NEIN
4-7-26-234;FRAGEZEICHEN
4-31-26-234;PAUSE
;
4-195-26-234;roboter
4-227-24-234;koenig
4-242-25-234;koenigin
4-188-27-234;frau
4-234-25-234;ritter
4-250-25-234;zauberer
;
4-101-26-234;Loewe
4-110-26-234;Elefant
4-119-26-234;Hahn
4-127-26-234;Katze
4-135-26-234;Hund
4-144-26-234;Kuh
4-153-26-234;Esel
4-161-26-234;Baer
4-169-26-234;Affe
4-177-26-234;Kuckuck
4-185-26-234;Schwein
4-192-25-234;Ziege
4-200-25-234;Schaf
4-208-25-234;Wolf
4-216-25-234;Taube
4-224-25-234;Henne
4-231-26-234;Seehund
4-239-26-234;Pferd
4-255-26-234;Gans
4-247-26-234;Ente
;
4-104-27-234;0
4-180-27-234;1
4-172-27-234;2
4-163-27-234;3
4-155-27-234;4
4-147-27-234;5
4-138-27-234;6
4-129-27-234;7
4-121-27-234;8
4-113-27-234;9
